,流水號,授課對象,課號,班次,課程名稱查看課程大綱，請點選課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程
168,97042,,PE2061,47,田徑與慢跑,,1,002 50730,半年,必修,簡坤鐘,2,"三1,2(人工草皮球場)",40,"專項運動學群,本校修課人數上限：40人",,,
169,97179,,PE2062,K8,女田徑校隊,,1,002 50740,半年,選修,蔡秀華,2,"一A,B(請洽系所辦) 四A,B(請洽系所辦)",40,"限女生,本校修課人數上限：40人",限校隊學生。上課地點：田徑場。,,
170,97180,,PE2063,K7,男田徑校隊,,1,002 50750,半年,選修,簡坤鐘,2,"一A,B,C(田徑場)二A,B,C(田徑場)四A,B,C(田徑場)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
171,97043,,PE2064,2,羽球初級,,1,002 50780,半年,必修,李坤培,2,"四6,7(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
172,97044,,PE2064,4,羽球初級,,1,002 50780,半年,必修,陳美莉,2,"二1,2(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
173,97045,,PE2064,5,羽球初級,,1,002 50780,半年,必修,陳美莉,2,"二3,4(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
174,97046,,PE2064,6,羽球初級,,1,002 50780,半年,必修,陳美莉,2,"三1,2(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
175,97047,,PE2064,7,羽球初級,,1,002 50780,半年,必修,陳美莉,2,"三3,4(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
176,97048,,PE2064,9,羽球初級,,1,002 50780,半年,必修,黃欽永,2,"一6,7(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
177,97049,,PE2064,12,羽球初級,,1,002 50780,半年,必修,黃欽永,2,"三6,7(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
178,97050,,PE2064,13,羽球初級,,1,002 50780,半年,必修,黃欽永,2,"三8,9(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
179,97051,,PE2064,14,羽球初級,,1,002 50780,半年,必修,黃國恩,2,"一1,2((醫)館1F)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
180,97052,,PE2064,15,羽球初級,,1,002 50780,半年,必修,黃國恩,2,"一3,4((醫)館1F)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
181,97053,,PE2064,58,羽球初級,,1,002 50780,半年,必修,呂碧琴,2,"一1,2(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
182,97054,,PE2064,59,羽球初級,,1,002 50780,半年,必修,呂碧琴,2,"一3,4(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
183,97055,,PE2064,76,羽球初級,,1,002 50780,半年,必修,連家瑩,2,"二1,2(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
184,97056,,PE2064,77,羽球初級,,1,002 50780,半年,必修,連家瑩,2,"二3,4(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",本課程以英語授課。請自備乾淨球鞋。,,
185,97057,,PE2064,79,羽球初級,,1,002 50780,半年,必修,連家瑩,2,"三8,9((醫)館1F)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
186,97058,,PE2064,81,羽球初級,,1,002 50780,半年,必修,連家瑩,2,"四6,7((醫)館1F)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
187,97059,,PE2064,90,羽球初級,,1,002 50780,半年,必修,洪巧菱,2,"一3,4(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
188,97060,,PE2064,92,羽球初級,,1,002 50780,半年,必修,洪巧菱,2,"五6,7(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
189,97061,,PE2064,93,羽球初級,,1,002 50780,半年,必修,洪巧菱,2,"五8,9(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
190,97062,,PE2064,D3,羽球初級,,1,002 50780,半年,必修,葉曉月,2,"四1,2(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
191,97063,,PE2065,35,羽球中級,,1,002 50790,半年,必修,陳志一,2,"一8,9(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",限修過初級或具初級能力者。請自備乾淨球鞋。,,
192,97064,,PE2065,36,羽球中級,,1,002 50790,半年,必修,陳志一,2,"二6,7(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",限修過初級或具初級能力者。請自備乾淨球鞋。,,
193,97065,,PE2065,37,羽球中級,,1,002 50790,半年,必修,陳志一,2,"二8,9(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",限修過初級或具初級能力者。請自備乾淨球鞋。,,
194,97066,,PE2065,80,羽球中級,,1,002 50790,半年,必修,連家瑩,2,"四3,4(舊館羽球場)",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。,,
195,97067,,PE2065,D4,羽球中級,,1,002 50790,半年,必修,葉曉月,2,"四3,4(綜館多功能)",48,"專項運動學群,本校修課人數上限：48人",限修過初級或具初級能力者。請自備乾淨球鞋。,,
196,97181,,PE2068,M2,女羽球校隊,,1,002 50820,半年,選修,連家瑩,2,"二A,B,C,D(請洽系所辦) 四A,B,C,D(請洽系所辦)",40,"限女生,本校修課人數上限：40人",限校隊學生。上課地點：(二)綜館多功能；(四)體育館羽球場。,,
197,97182,,PE2069,L3,男羽球校隊,,1,002 50830,半年,選修,陳志一,2,"二A,B,C,D(綜館多功能)四A,B,C,D(舊館羽球場)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
198,97068,,PE2071,53,足球初級,,1,002 50860,半年,必修,楊裕隆,2,"二8,9(足球場)",44,"專項運動學群,本校修課人數上限：44人",,,
199,97069,,PE2071,54,足球初級,,1,002 50860,半年,必修,楊裕隆,2,"三6,7(足球場)",44,"專項運動學群,本校修課人數上限：44人",,,
200,97070,,PE2072,55,足球中級,,1,002 50870,半年,必修,楊裕隆,2,"三8,9(足球場)",44,"專項運動學群,本校修課人數上限：44人",,,
201,97183,,PE2073,K9,男足球校隊,,1,002 50880,半年,選修,楊裕隆,2,"三A,B,C,D(人工草皮球場)六1,2,3,4(人工草皮球場)",40,本校修課人數上限：40人,限校隊學生。,,
202,97071,,PE5003,A6,有氧舞蹈,,1,002 50890,半年,必修,林謙如,2,"二6,7(綜館舞蹈室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
203,97072,,PE5003,J1,有氧舞蹈,,1,002 50890,半年,必修,賴韻宇,2,"五6,7(綜館舞蹈室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
204,97073,,PE5003,J2,有氧舞蹈,,1,002 50890,半年,必修,賴韻宇,2,"五8,9(綜館舞蹈室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
205,97074,,PE2074,39,桌球初級,,1,002 50900,半年,必修,林信甫,2,"一1,2(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
206,97075,,PE2074,40,桌球初級,,1,002 50900,半年,必修,林信甫,2,"一3,4(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",本課程以英語授課。請自備乾淨球鞋。,,
207,97076,,PE2074,42,桌球初級,,1,002 50900,半年,必修,林信甫,2,"二6,7(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
208,97077,,PE2074,82,桌球初級,,1,002 50900,半年,必修,呂宛蓁,2,"一6,7(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
209,97078,,PE2074,83,桌球初級,,1,002 50900,半年,必修,呂宛蓁,2,"一8,9(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
210,97079,,PE2074,84,桌球初級,,1,002 50900,半年,必修,呂宛蓁,2,"三6,7(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
211,97080,,PE2074,85,桌球初級,,1,002 50900,半年,必修,呂宛蓁,2,"三8,9(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
212,97081,,PE2074,A2,桌球初級,,1,002 50900,半年,必修,趙曉涵,2,"四6,7(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
213,97082,,PE2074,A3,桌球初級,,1,002 50900,半年,必修,趙曉涵,2,"四8,9(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
214,97083,,PE2074,C8,桌球初級,,1,002 50900,半年,必修,陳逸杰,2,"三1,2(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
215,97084,,PE2074,C9,桌球初級,,1,002 50900,半年,必修,陳逸杰,2,"三3,4(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
216,97085,,PE2074,D9,桌球初級,,1,002 50900,半年,必修,王傑賢,2,"五6,7(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
217,97086,,PE2074,G3,桌球初級,,1,002 50900,半年,必修,吳忠誼,2,"四1,2(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
218,97087,,PE2074,G4,桌球初級,,1,002 50900,半年,必修,吳忠誼,2,"四3,4(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
219,97088,,PE2074,P1,桌球初級,,1,002 50900,半年,必修,王翊澤,2,"二8,9(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
220,97089,,PE2074,P4,桌球初級,,1,002 50900,半年,必修,王翊澤,2,"五1,2(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
221,97090,,PE2075,C6,桌球中級,,1,002 50910,半年,必修,陳逸杰,2,"二1,2(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
222,97091,,PE2075,C7,桌球中級,,1,002 50910,半年,必修,陳逸杰,2,"二3,4(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,,
223,97092,,PE2075,F1,桌球中級,,1,002 50910,半年,必修,王傑賢,2,"五8,9(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",限修過初級或具初級能力者。請自備乾淨球鞋。,,
224,97093,,PE2075,P5,桌球中級,,1,002 50910,半年,必修,王翊澤,2,"五3,4(綜館桌球室)",48,"專項運動學群,本校修課人數上限：48人",限修過初級或具初級能力者。請自備乾淨球鞋。,,
225,97184,,PE2077,L5,女桌球校隊,,1,002 50930,半年,選修,陳逸杰,2,"一A,B,C(請洽系所辦) 四A,B,C(請洽系所辦)",40,"限女生,本校修課人數上限：40人",限校隊學生。上課地點：綜館桌球室。,,
226,97185,,PE2079,L4,男桌球校隊,,1,002 50950,半年,選修,林信甫,2,"一A,B,C(綜館桌球室)四A,B,C(綜館桌球室)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
227,97094,,PE2080,38,排球初級,,1,002 50960,半年,必修,陳志一,2,"三3,4(排球場)",42,"專項運動學群,本校修課人數上限：42人",,,
228,97095,,PE2080,70,排球初級,,1,002 50960,半年,必修,胡林煥,2,"二6,7(排球場)",42,"專項運動學群,本校修課人數上限：42人",,,
229,97096,,PE2080,71,排球初級,,1,002 50960,半年,必修,胡林煥,2,"二8,9(排球場)",42,"專項運動學群,本校修課人數上限：42人",,,
230,97097,,PE2080,86,排球初級,,1,002 50960,半年,必修,呂宛蓁,2,"四1,2(排球場)",42,"專項運動學群,本校修課人數上限：42人",,,
231,97098,,PE2080,87,排球初級,,1,002 50960,半年,必修,呂宛蓁,2,"四3,4(排球場)",42,"專項運動學群,本校修課人數上限：42人",,,
232,97099,,PE2081,72,排球中級,,1,002 50970,半年,必修,胡林煥,2,"三6,7(舊館羽球場)",44,"專項運動學群 且 限女生,本校修課人數上限：44人",限修過初級或具初級能力者。,,
233,97100,,PE2081,73,排球中級,,1,002 50970,半年,必修,胡林煥,2,"三8,9(舊館羽球場)",44,"專項運動學群 且 限男生,本校修課人數上限：44人",限修過初級或具初級能力者。,,
234,97186,,PE2082,M4,女排球校隊,,1,002 50980,半年,選修,呂宛蓁,2,"一A,B,C,D(請洽系所辦) 三A,B,C,D(請洽系所辦)",40,"限女生,本校修課人數上限：40人",限校隊學生。上課地點：(一)綜館多功能；(三)體育館羽球場。,,
235,97187,,PE2083,L6,男排球校隊,,1,002 50990,半年,選修,胡林煥,2,"一A,B,C,D(綜館多功能)三A,B,C,D(舊館羽球場)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
236,97101,,PE2084,64,籃球初級,,1,002 51010,半年,必修,林聯喜,2,"二6,7(中央籃球場)",44,"專項運動學群,本校修課人數上限：44人",,,
237,97102,,PE2084,65,籃球初級,,1,002 51010,半年,必修,林聯喜,2,"二8,9(中央籃球場)",44,"專項運動學群,本校修課人數上限：44人",,,
238,97103,,PE2084,75,籃球初級,,1,002 51010,半年,必修,曾郁嫻,2,"二3,4(中央籃球場)",44,"專項運動學群 且 限女生,本校修課人數上限：44人",,,
239,97104,,PE2084,F4,籃球初級,,1,002 51010,半年,必修,李永祥,2,"一6,7(中央籃球場)",44,"專項運動學群,本校修課人數上限：44人",,,
240,97105,,PE2084,F5,籃球初級,,1,002 51010,半年,必修,李永祥,2,"一8,9(中央籃球場)",44,"專項運動學群,本校修課人數上限：44人",,,
241,97106,,PE2084,F8,籃球初級,,1,002 51010,半年,必修,施登堯,2,"三1,2(中央籃球場)",44,"專項運動學群,本校修課人數上限：44人",,,
242,97107,,PE2085,74,籃球中級,,1,002 51020,半年,必修,曾郁嫻,2,"二1,2(中央籃球場)",44,"專項運動學群,本校修課人數上限：44人",限修過初級或具初級能力者。,,
243,97108,,PE2085,D8,籃球中級,,1,002 51020,半年,必修,逄廣華,2,"三3,4(舊館羽球場)",44,"專項運動學群,本校修課人數上限：44人",限修過初級或具初級能力者。,,
244,97188,,PE2086,L9,女籃球校隊,,1,002 51030,半年,選修,曾郁嫻,2,"二10,A,B(舊館羽球場)四C,D(綜館多功能)六1,2,3,4(新生籃球場)",40,"限女生,本校修課人數上限：40人",限校隊學生。,,
245,97189,,PE2087,M6,男籃球校隊,,1,002 51040,半年,選修,林聯喜,2,"二C,D(舊館羽球場)四A,B(綜館多功能)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
246,97109,,PE2088,44,高爾夫初級,,1,002 51060,半年,必修,簡坤鐘,2,"一8,9((醫)館1F)",36,"專項運動學群,本校修課人數上限：36人",,,
247,97110,,PE2088,45,高爾夫初級,,1,002 51060,半年,必修,簡坤鐘,2,"二1,2(高爾夫球場)",36,"專項運動學群,本校修課人數上限：36人",,,
248,97111,,PE2088,46,高爾夫初級,,1,002 51060,半年,必修,簡坤鐘,2,"二3,4(高爾夫球場)",36,"專項運動學群,本校修課人數上限：36人",,,
249,97112,,PE2088,F2,高爾夫初級,,1,002 51060,半年,必修,麥吉誠,2,"二6,7(高爾夫球場)",44,"專項運動學群,本校修課人數上限：44人",,,
250,97113,,PE2088,F3,高爾夫初級,,1,002 51060,半年,必修,麥吉誠,2,"二8,9(高爾夫球場)",44,"專項運動學群,本校修課人數上限：44人",,,
251,97114,,PE2088,G7,高爾夫初級,,1,002 51060,半年,必修,周德賢,2,"三1,2(高爾夫球場)",48,"專項運動學群,本校修課人數上限：48人",,,
252,97115,,PE2088,G8,高爾夫初級,,1,002 51060,半年,必修,周德賢,2,"三3,4(高爾夫球場)",48,"專項運動學群,本校修課人數上限：48人",,,
253,97190,,PE2091,M7,高爾夫校隊,,1,002 51090,半年,選修,洪巧菱,2,"六0,1,2,3(請洽系所辦)",40,本校修課人數上限：40人,限校隊學生。上課地點：益莊高爾夫球場。,,
254,97116,,PE2092,24,壘球初級,,1,002 51120,半年,必修,連玉輝,2,"一3,4(棒壘球場)",48,"專項運動學群,本校修課人數上限：48人",,,
255,97117,,PE2092,25,壘球初級,,1,002 51120,半年,必修,連玉輝,2,"二3,4(棒壘球場)",48,"專項運動學群,本校修課人數上限：48人",,,
256,97118,,PE2092,H2,壘球初級,,1,002 51120,半年,必修,周德賢,2,"五1,2(棒壘球場)",48,"專項運動學群,本校修課人數上限：48人",,,
257,97119,,PE2092,H3,壘球初級,,1,002 51120,半年,必修,周德賢,2,"五3,4(棒壘球場)",48,"專項運動學群,本校修課人數上限：48人",,,
258,97191,,PE2095,L1,女壘球校隊,,1,002 51150,半年,選修,呂碧琴,2,"六6,7,8,9,10(棒壘球場)",40,"限女生,本校修課人數上限：40人",限校隊學生。,,
259,97192,,PE2096,K2,男壘球校隊,,1,002 51160,半年,選修,康正男,2,"六1,2,3,4(請洽系所辦)",40,"限男生,本校修課人數上限：40人",限校隊學生。上課地點：棒壘球場。,,
260,97120,,PE2097,3,棒球初級,,1,002 51180,半年,必修,康正男,2,"一6,7(棒壘球場)",48,"專項運動學群,本校修課人數上限：48人",,,
261,97121,,PE2097,G9,棒球初級,,1,002 51180,半年,必修,周德賢,2,"四1,2(棒壘球場)",48,"專項運動學群,本校修課人數上限：48人",,,
262,97122,,PE2098,H1,棒球中級,,1,002 51190,半年,必修,周德賢,2,"四3,4(棒壘球場)",48,"專項運動學群,本校修課人數上限：48人",,,
263,97193,,PE2099,K1,棒球校隊,,1,002 51200,半年,選修,康正男,2,"六1,2,3,4(棒壘球場)",40,"限男生,本校修課人數上限：40人",限校隊學生。,,
264,97194,,PE2100,L7,女軟網校隊,,1,002 51240,半年,選修,莊泰源,2,"二A,B,C,D(網球345678)四A,B,C,D(網球345678)六6,7,8,9(網球345678)",40,"限女生,本校修課人數上限：40人",限校隊學生。,,
265,97195,,PE2101,L8,男軟網校隊,,1,002 51250,半年,選修,莊泰源,2,"二A,B,C,D(網球123456)四A,B,C,D(網球123456)六6,7,8,9(網球123456)",40,"限女生,本校修課人數上限：40人",限校隊學生。,,
266,97123,,PE2102,8,網球初級,,1,002 51260,半年,必修,陳美莉,2,"四1,2(網球345678)",42,"專項運動學群,本校修課人數上限：42人",,,
267,97124,,PE2102,27,網球初級,,1,002 51260,半年,必修,連玉輝,2,"三3,4((醫)網球場)",32,"專項運動學群,本校修課人數上限：32人",,,
268,97125,,PE2102,99,網球初級,,1,002 51260,半年,必修,趙曉涵,2,"三6,7(網球345678)",42,"專項運動學群,本校修課人數上限：42人",,,
269,97126,,PE2102,A1,網球初級,,1,002 51260,半年,必修,趙曉涵,2,"三8,9(網球345678)",42,"專項運動學群,本校修課人數上限：42人",,,
